Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
1871, 9, true, 1512, 1, 5, 2.48214, 981, 1356, false, 10, 0.004618, 0.009575, 0.013218, 0.027973, .056609048, Barman-BDI/pfile13
628, 2, true, 503, 1, 5, 2.41352, 307, 437, false, 10, 0.001029, 0.001453, 0.003572, 0.006161, .029721286, Barman-BDI/pfile07
444, 2, true, 352, 1, 5, 2.3892, 204, 300, false, 10, 0.000445, 0.000747, 0.002565, 0.003846, .024230681, Barman-BDI/pfile04
47794, 50, true, 39576, 1, 5, 2.52411, 28357, 36670, false, 10, 1.11806, 4.38301, 0.533856, 6.27998, 1.725645906, Barman-BDI/pfile20
8, 7, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 5e-06, 3.1e-05, 7.8e-05, .016961542, UM-Translog/07-A-FlatbedTruck
12, 14, true, 1, 0, 0, 0, 1, 1, false, 1, 3e-06, 1.2e-05, 8.8e-05, 0.000204, .015289981, UM-Translog/03-A-ArmoredRegularTruck
11, 4, true, 3, 7, 8, 5, 3, 3, false, 2, 3e-06, 1e-05, 0.000133, 0.00017, .015725993, UM-Translog/16-A-RegularTruck-4Locations
12, 13, true, 1, 0, 0, 0, 1, 1, false, 1, 3e-06, 1.2e-05, 9.8e-05, 0.000223, .016042237, UM-Translog/02-A-Airplane
14, 17, true, 1, 0, 0, 0, 1, 1, false, 1, 4e-06, 2.1e-05, 0.000227, 0.000494, .014294181, UM-Translog/20-A-TankerTruck
12, 9, true, 3, 3, 4, 2.33333, 3, 3, false, 2, 5e-06, 1e-05, 0.000106, 0.000228, .015675103, UM-Translog/05-A-AutoTraincar
20, 18, true, 3, 13, 16, 9.66667, 3, 3, false, 2, 3.3e-05, 7.3e-05, 0.000835, 0.001414, .016785915, UM-Translog/19-A-TankerTraincarHub
10, 3, true, 3, 7, 8, 5, 3, 3, false, 2, 5e-06, 9e-06, 0.000131, 0.000163, .016120165, UM-Translog/15-A-RegularTruck-3Locations
8, 9, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 6e-06, 7.8e-05, 0.000182, .014675915, UM-Translog/08-A-HopperTruck
22, 27, true, 1, 0, 0, 0, 1, 1, false, 1, 5e-06, 7.1e-05, 0.000511, 0.001118, .017134778, UM-Translog/13-A-Regular2TrainStations2PostOffices
8, 9, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 5e-06, 6.6e-05, 0.000162, .014727574, UM-Translog/18-A-RegularTruck
8, 9, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 6e-06, 6.5e-05, 0.000151, .015223176, UM-Translog/14-A-RegularTruck-2Regions
14, 17, true, 1, 0, 0, 0, 1, 1, false, 1, 4e-06, 2.2e-05, 0.000228, 0.000494, .015102727, UM-Translog/12-A-RefrigeratedTankerTruck
10, 11, true, 1, 0, 0, 0, 1, 1, false, 1, 3e-06, 9e-06, 7.9e-05, 0.000182, .015383281, UM-Translog/10-A-RefrigeratedRegularTraincar
14, 12, true, 3, 7, 8, 5, 3, 3, false, 2, 4e-06, 2.2e-05, 0.000267, 0.000473, .015726175, UM-Translog/22-B-RegularTruck
24, 22, true, 3, 16, 19, 11.6667, 3, 3, false, 2, 9e-06, 0.000138, 0.001184, 0.001922, .016538203, UM-Translog/11-A-RefrigeratedTankerTraincarHub
10, 11, true, 1, 0, 0, 0, 1, 1, false, 1, 3e-06, 1e-05, 9.6e-05, 0.000217, .016015347, UM-Translog/04-A-AutoTraincar-bis
10, 11, true, 1, 0, 0, 0, 1, 1, false, 1, 4e-06, 1.3e-05, 8e-05, 0.00019, .015846697, UM-Translog/09-A-MailTraincar
8, 9, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 5e-06, 6.5e-05, 0.000151, .014805144, UM-Translog/17-A-RegularTruckCustom
21, 26, true, 1, 0, 0, 0, 1, 1, false, 1, 5e-06, 7.3e-05, 0.000409, 0.000934, .016667543, UM-Translog/21-B-ParcelsChemicals
8, 9, true, 1, 0, 0, 0, 1, 1, false, 1, 2e-06, 6e-06, 7.9e-05, 0.000191, .014448777, UM-Translog/06-A-AutoTruck
23, 26, true, 1, 0, 0, 0, 1, 1, false, 1, 7e-06, 7.3e-05, 0.000328, 0.000753, .017138302, UM-Translog/01-A-AirplanesHub
67418, 1, false, 55016, 1, 12, 2.21425, 15612, 48960, true, 9, 0.883841, 0.668324, 0.271253, 1.83233, 1.968474542, Monroe-Partially-Observable/pfile01-p-0088-quell-riot-1
68890, 1, false, 56051, 1, 12, 2.21427, 15924, 49852, true, 10, 0.942123, 0.720257, 0.305209, 1.97687, 2.117342305, Monroe-Partially-Observable/pfile02-p-0068-provide-medical-attention-4
67422, 1, false, 55020, 1, 12, 2.21416, 15612, 48960, true, 10, 0.904651, 0.660727, 0.275022, 1.84942, 2.017444060, Monroe-Partially-Observable/pfile03-p-0014-fix-power-line-3
67433, 1, false, 55029, 1, 12, 2.21416, 15759, 48963, true, 10, 1.09354, 0.758845, 0.292644, 2.1545, 2.020389357, Monroe-Partially-Observable/pfile04-p-0025-clear-road-wreck-7
73827, 1, false, 60547, 1, 12, 2.19951, 17124, 53620, true, 9, 1.01056, 0.750031, 0.308397, 2.07914, 2.200552994, Monroe-Partially-Observable/pfile05-p-0076-plow-road-4
67430, 1, false, 55028, 1, 12, 2.21398, 15612, 48960, true, 10, 0.840919, 0.676887, 0.290996, 1.81845, 2.140450291, Monroe-Partially-Observable/pfile06-p-0100-fix-water-main-10
67429, 1, false, 55027, 1, 12, 2.21404, 15612, 48961, true, 10, 0.89854, 0.672527, 0.273846, 1.85433, 2.172201452, Monroe-Partially-Observable/pfile07-p-0073-provide-temp-heat-8
67812, 1, false, 55315, 1, 12, 2.2171, 15915, 49245, true, 10, 0.880504, 0.701172, 0.291264, 1.88105, 1.982991725, Monroe-Partially-Observable/pfile08-p-0017-clear-road-tree-9
67811, 1, false, 55314, 1, 12, 2.21703, 15780, 49244, true, 10, 0.852989, 0.671786, 0.262352, 1.79543, 1.996698556, Monroe-Partially-Observable/pfile09-p-0018-fix-power-line-6
